		Stooke and Ford Gaspra large craters				Chapman cumulative				combined		
										diameter	Number	
delta log	log diameters	Diameters	R value	r value/D^3		diamter	number	number*5.2		6.411	1	
	-0.071552937	0.8481	0.024692	0.04047763		1.682	1.0073	5.23796		4.2801	2	
0.108062065	0.036509129	1.0877	0.11335	0.088083414		1.3906	1.9825	10.309		2.711	3	
0.110950767	0.147459896	1.4043	0.024359	0.00879589		1.1485	3.0344	15.77888		1.9091	4	
0.201448276	0.348908172	2.2331	0.16872	0.015151026		0.867	3.9144	20.35488		1.873	5	
0.128459114	0.477367285	3.0017	0.27852	0.010298039		0.5833	11.794	61.3288		1.682	10.24	
0.172269333	0.649636618	4.4631	0.50956	0.005731727		0.5266	17.562	91.3224		1.3906	15.3	
						0.461	20.616	107.2032		1.2017	16.3	
						0.41613	29.505	153.426		1.1485	32	
						0.35895	35.103	182.5356		1.132	33	
1.282513854						0.30559	62.13	323.076		0.867	53	
1.291072906						0.24877	105.73	549.796		0.8571	54	
1.590187282						0.19095	205.52	1068.704		0.8355	55	
1.344185213						0.14022	432.76	2250.352		0.6316	56	
1.486857447						0.09542	589.3	3064.36		0.6298	57	
0										0.5833	118.3288	61.3288
										0.5266	209.6512	91.3224
										0.461	316.8544	107.2032
										0.41613	470.2804	153.426
										0.35895	652.816	182.5356
										0.30559	975.892	323.076
										0.24877	1525.688	549.796
										0.19095	2594.392	1068.704
										0.14022	4844.744	2250.352
										0.09542	7909.104	3064.36
